no,gender,age,age_group,los,last_login_days_ago,info_vacancy_period,is_take_test_minat,is_experienced,is_need_job,is_auto_apply_job,is_completed_profile,total_docs_upload,is_cv_uploaded,expected_salary,have_additional_skill,usr_group_specialization,apply_job_weekend_weekday_tendency,apply_training_weekend_weekday_tendency,training_level_tendency,education_enthuasiast_lvl,frequency_activity,recency_engagement,user_lifecycle,user_ses,job_sensitivity,searching_job_behavior,work_distance_tendency
1,Wanita,26,26-35,1484,860,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,No,Pelayanan Kesehatan,,,,Basic,Low,Low,New,B,,,
2,Pria,42,36-45,1562,846,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,,,,,Moderate,,Low,New,A,,Future Candidates,
3,Wanita,26,26-35,1047,528,,No,Yes,Yes,,Yes,0,Yes,,No,Akuntansi / Keuangan,,,,Moderate,Low,Medium,New,A,,,
4,Wanita,28,26-35,1869,860,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,,Low,New,B,,,
5,Pria,38,36-45,930,848,daily,No,Yes,Yes,No,Yes,0,Yes,8-10 jt,No,Teknologi Informasi (TI),,,,Moderate,Low,Low,New,A,,Active canidate,
6,Wanita,26,26-35,253,253,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Administrasi / GA,,,,Moderate,,High,New,A,,,
7,Pria,29,26-35,888,860,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Basic,,Low,New,C,,,
8,Pria,27,26-35,1552,860,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,Yes,Jasa / Pelayanan,Weekday,,,Moderate,Low,Low,Churn,A,,,
9,Wanita,31,26-35,1614,730,monthly,No,Yes,Yes,Yes,Yes,0,No,3-5 jt,Yes,Pemasaran ,Weekday,Weekday,Basic,Moderate,Low,Low,Churn,A,Low,,
10,Wanita,52,46-55,1400,860,daily,No,Yes,Yes,No,No,0,No,< 3 Jt,No,Pendidikan / Pelatihan & Pengembangan,,,,Basic,,Low,New,C,,Active canidate,
11,Wanita,26,26-35,516,516,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,Pendidikan / Pelatihan & Pengembangan,,,,Moderate,,Medium,New,A,,Future Candidates,
12,Pria,22,18-25,1345,620,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Pemasaran ,,,,Basic,,Low,New,B,,Active canidate,
13,Wanita,25,18-25,454,453,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Pemasaran ,Weekday,,,Basic,Low,Medium,Churn,B,High,,Same Province
14,Pria,20,18-25,987,520,daily,No,Yes,Yes,No,Yes,0,Yes,6-7 jt,No,Keahlian Teknik,Weekday,,,Basic,Low,Medium,Churn,A,,Active canidate,
15,Wanita,21,18-25,107,107,monthly,No,Yes,No,No,Yes,0,Yes,3-5 jt,No,Manufaktur,Weekday,,,Basic,Low,High,Retain,A,,,Same Province
16,Pria,27,26-35,906,848,monthly,Yes,Yes,Yes,No,Yes,0,Yes,3-5 jt,Yes,Manufaktur,,,,Basic,Low,Low,Churn,B,,,
17,Pria,32,26-35,959,860,monthly,No,Yes,Yes,No,No,0,Yes,< 3 Jt,No,Jasa / Pelayanan,,,,Basic,,Low,New,C,,,
18,Pria,52,46-55,57,57,monthly,No,Yes,No,No,No,0,No,,No,,,,,Basic,,High,New,,,,
19,Wanita,32,26-35,1667,860,2week,No,Yes,Yes,Yes,Yes,0,No,< 3 Jt,No,Administrasi / GA,,,,Basic,Low,Low,New,C,,,
20,Pria,22,18-25,385,385,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Seni / Media / Komunikasi,Weekday,,,Basic,Low,Medium,Churn,B,Low,,Same Province
21,Wanita,31,26-35,2102,528,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,,Medium,New,B,,,
22,Pria,22,18-25,1389,522,daily,No,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Manufaktur,Weekday,,,Basic,Low,Medium,Churn,B,Low,Active canidate,
23,Pria,29,26-35,1309,860,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Penjualan,,,,Basic,Low,Low,New,A,,Active canidate,
24,Pria,24,18-25,1720,860,weekly,No,Yes,No,No,No,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,,Low,New,B,,,
25,Pria,35,26-35,1211,528,,No,Yes,Yes,No,No,0,No,,No,Ilmu Sosial & Politik,,,,Basic,Low,Medium,New,C,,,
26,Wanita,22,18-25,694,666,daily,No,Yes,Yes,No,Yes,0,Yes,3-5 jt,No,Pemasaran ,,,,Basic,,Low,New,B,,Active canidate,
27,Pria,27,26-35,1454,528,,Yes,Yes,Yes,Yes,Yes,0,No,,No,Administrasi / GA,Weekend,,,Moderate,Low,Medium,Churn,A,Low,,Different Province
28,Wanita,22,18-25,128,128,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Akuntansi / Keuangan,Weekday,,,Moderate,Low,High,Churn,A,,,Different Province
29,Wanita,31,26-35,1728,843,2week,No,Yes,No,No,Yes,0,No,6-7 jt,No,Bangunan / Konstruksi,,,,Moderate,Low,Low,New,A,,Passive canidate,
30,Pria,18,18-25,464,464,monthly,No,Yes,No,No,No,0,No,,No,Jasa / Pelayanan,,,,Basic,,Medium,New,C,,,
31,Pria,36,36-45,1934,843,monthly,No,Yes,No,No,Yes,0,No,6-7 jt,No,Administrasi / GA,,,,Moderate,,Low,New,A,,Passive canidate,
32,Pria,22,18-25,1014,860,monthly,No,Yes,Yes,No,No,0,No,3-5 jt,No,Keahlian Teknik,,,,Basic,,Low,New,B,,Future Candidates,
33,Wanita,25,18-25,700,697,monthly,No,Yes,No,No,Yes,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Moderate,,Low,New,A,,Future Candidates,
34,Pria,24,18-25,584,577,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,,,,,Basic,,Low,New,B,,,
35,Pria,36,36-45,588,588,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,Jasa / Pelayanan,,,,Basic,,Low,New,A,,,
36,Pria,31,26-35,1193,528,,No,Yes,,,No,0,No,,Yes,Keahlian Teknik,,,,Basic,Low,Medium,New,C,,,
37,Wanita,20,18-25,769,769,monthly,No,Yes,No,No,Yes,0,No,< 3 Jt,No,Administrasi / GA,,,,Basic,,Low,New,C,,Future Candidates,
38,Pria,28,26-35,1397,860,daily,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Pelayanan Kesehatan,,,,Moderate,Low,Low,New,B,,Active canidate,
39,Wanita,21,18-25,741,713,daily,No,Yes,Yes,No,Yes,0,Yes,< 3 Jt,No,Administrasi / GA,,,,Basic,,Low,New,C,,Active canidate,
40,Pria,28,26-35,1137,528,,No,Yes,,,Yes,0,Yes,,No,Pendidikan / Pelatihan & Pengembangan,,,,Moderate,,Medium,New,B,,Passive canidate,
41,Wanita,23,18-25,329,329,monthly,No,Yes,Yes,No,No,0,No,3-5 jt,No,Akuntansi / Keuangan,,,,Basic,Low,Medium,New,A,,,
42,Wanita,3,<=17,1027,860,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,,,,,Basic,,Low,New,B,,,
43,Pria,31,26-35,1976,843,weekly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Akuntansi / Keuangan,,,,Moderate,Low,Low,New,A,,Active canidate,
44,,52,46-55,1119,860,daily,No,Yes,,No,No,0,No,3-5 jt,No,Administrasi / GA,,,,Basic,,Low,New,B,,,
45,Wanita,22,18-25,620,613,monthly,No,Yes,Yes,No,Yes,0,No,3-5 jt,No,Manufaktur,,,,Basic,Low,Low,New,A,,,
46,Pria,29,26-35,1036,848,monthly,Yes,Yes,Yes,,Yes,0,No,3-5 jt,No,Seni / Media / Komunikasi,,,,Basic,Low,Low,New,B,,Future Candidates,
47,Pria,28,26-35,1694,860,weekly,No,Yes,Yes,Yes,No,0,No,3-5 jt,No,Ilmu Pengetahuan,,,,Moderate,,Low,New,B,,Active canidate,
48,Wanita,20,18-25,661,553,daily,Yes,Yes,Yes,No,Yes,0,No,< 3 Jt,No,Teknologi Informasi (TI),Weekday,,,Basic,Low,Medium,Churn,C,Low,Active canidate,Different Province
49,Pria,20,18-25,617,610,monthly,No,Yes,No,No,No,0,No,3-5 jt,No,Seni / Media / Komunikasi,,,,Basic,Low,Low,New,B,,,
50,Pria,31,26-35,1261,528,,No,Yes,No,,No,0,No,,No,Keahlian Teknik,,,,Moderate,,Medium,New,A,,,
